Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Fraction		"UV_CUT_TEMP@100,BASEM (1)"		Run Log	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Fraction	ml	mAU	ml	Logbook
-172.820816	1.917105	-172.820816	27.893555	-172.217728	100					2.412186	-0.032186		
-172.807495	1.908472	-172.807495	27.890585	-172.201065	100					2.425507	-0.032153		
-172.794174	1.897901	-172.794174	27.887495	-172.184418	100					2.438828	-0.03212		
-172.780838	1.88793	-172.780838	27.884832	-172.167755	100					2.452164	-0.032087		
-172.767517	1.876615	-172.767517	27.882059	-172.151093	100					2.465485	-0.032054		
-172.754181	1.86267	-172.754181	27.880283	-172.13443	100					2.478821	-0.032021		
-172.74086	1.847131	-172.74086	27.87966	-172.117783	100					2.492142	-0.031988		
-172.727539	1.835294	-172.727539	27.878504	-172.10112	100					2.505463	-0.031955		
-172.714203	1.824169	-172.714203	27.875603	-172.084457	100					2.518799	-0.031922		
-172.700882	1.811542	-172.700882	27.870804	-172.067795	100					2.53212	-0.03189		
-172.687546	1.80126	-172.687546	27.865774	-172.051132	100					2.545456	-0.031863		
-172.674225	1.789724	-172.674225	27.861696	-172.034485	100					2.558777	-0.031837		
-172.660904	1.779751	-172.660904	27.859306	-172.017822	100					2.572098	-0.031811		
-172.647568	1.770694	-172.647568	27.858318	-172.00116	100					2.585434	-0.031784		
-172.634247	1.760754	-172.634247	27.856493	-171.984497	100					2.598755	-0.031758		
-172.620911	1.753171	-172.620911	27.854067	-171.96785	100					2.612091	-0.031732		
-172.60759	1.742598	-172.60759	27.85174	-171.951187	100					2.625412	-0.031706		
-172.594269	1.732552	-172.594269	27.85321	-171.934525	100					2.638733	-0.031679		
-172.580933	1.722893	-172.580933	27.85714	-171.917862	100					2.652069	-0.031653		
-172.567612	1.712933	-172.567612	27.861135	-171.901215	100					2.66539	-0.031627		
-172.554276	1.703989	-172.554276	27.8622	-171.884552	100					2.678726	-0.031594		
-172.540955	1.689423	-172.540955	27.859749	-171.867889	100					2.692047	-0.031561		
-172.527634	1.673985	-172.527634	27.857456	-171.851227	100					2.705368	-0.031528		
-172.514297	1.660342	-172.514297	27.854624	-171.834579	100					2.718704	-0.031495		
-172.500977	1.645872	-172.500977	27.852444	-171.817917	100					2.732025	-0.031462		
-172.48764	1.628365	-172.48764	27.849068	-171.801254	100					2.745361	-0.031429		
-172.474319	1.610827	-172.474319	27.844765	-171.784592	100					2.758682	-0.031396		
-172.460999	1.599145	-172.460999	27.840681	-171.767944	100					2.772003	-0.031364		
-172.447662	1.591266	-172.447662	27.837048	-171.751282	100					2.785339	-0.031331		
-172.434341	1.583038	-172.434341	27.8353	-171.734619	100					2.79866	-0.031298		
-172.421005	1.575676	-172.421005	27.836485	-171.717957	100					2.811996	-0.031272		
-172.407684	1.569225	-172.407684	27.840416	-171.701294	100					2.825317	-0.031246		
-172.394363	1.56436	-172.394363	27.84379	-171.684647	100					2.838638	-0.031219		
-172.381027	1.559752	-172.381027	27.847727	-171.667984	100					2.851974	-0.031193		
-172.367706	1.551516	-172.367706	27.852495	-171.651321	100					2.865295	-0.031167		
-172.35437	1.542275	-172.35437	27.857483	-171.634659	100					2.878632	-0.031141		
-172.341049	1.535495	-172.341049	27.859501	-171.618011	100					2.891953	-0.031115		
-172.327728	1.531783	-172.327728	27.859566	-171.601349	100					2.905273	-0.031089		
-172.314392	1.525252	-172.314392	27.8598	-171.584686	100					2.91861	-0.031063		
-172.301071	1.513779	-172.301071	27.858927	-171.568024	100					2.931931	-0.031037		
-172.28775	1.504938	-172.28775	27.858126	-171.551376	100					2.945251	-0.031011		
-172.274414	1.496737	-172.274414	27.85516	-171.534714	100					2.958588	-0.030985		
-172.261093	1.482993	-172.261093	27.851542	-171.518051	100					2.971909	-0.030959		
-172.247757	1.465742	-172.247757	27.848539	-171.501389	100					2.985245	-0.030933		
-172.234436	1.451609	-172.234436	27.845564	-171.484741	100					2.998566	-0.030907		
-172.221115	1.436931	-172.221115	27.841009	-171.468079	100					3.011887	-0.030881		
-172.207779	1.425409	-172.207779	27.836868	-171.451416	100					3.025223	-0.030855		
-172.194458	1.414735	-172.194458	27.833052	-171.434753	100					3.038544	-0.030829		
-172.181122	1.404424	-172.181122	27.830856	-171.418106	100					3.05188	-0.030803		
-172.167801	1.397969	-172.167801	27.829798	-171.401443	100					3.065201	-0.030777		
-172.15448	1.39265	-172.15448	27.829399	-171.384781	100					3.078522	-0.030738		
-172.141144	1.389573	-172.141144	27.828465	-171.368118	100					3.091858	-0.030699		
-172.127823	1.384023	-172.127823	27.827148	-171.351456	100					3.105179	-0.03066		
-172.114487	1.370799	-172.114487	27.827473	-171.334808	100					3.118515	-0.030621		
-172.101166	1.362685	-172.101166	27.827438	-171.318146	100					3.131836	-0.030582		
-172.087845	1.353598	-172.087845	27.826773	-171.301483	100					3.145157	-0.030543		
-172.074509	1.344894	-172.074509	27.827137	-171.284821	100					3.158493	-0.030504		
-172.061188	1.335187	-172.061188	27.828056	-171.268173	100					3.171814	-0.030464		
-172.047852	1.326606	-172.047852	27.828016	-171.251511	100					3.18515	-0.030425		
-172.034531	1.321789	-172.034531	27.827581	-171.234848	100					3.198471	-0.030386		
-172.02121	1.317895	-172.02121	27.828617	-171.218185	100					3.211792	-0.030361		
-172.007874	1.311612	-172.007874	27.831234	-171.201538	100					3.225128	-0.030335		
-171.994553	1.304177	-171.994553	27.835287	-171.184875	100					3.238449	-0.03031		
-171.981216	1.297848	-171.981216	27.837656	-171.168213	100					3.251785	-0.030284		
-171.967896	1.289743	-171.967896	27.838242	-171.15155	100					3.265106	-0.030259		
-171.954575	1.279428	-171.954575	27.836016	-171.134903	100					3.278427	-0.030233		
-171.941238	1.271145	-171.941238	27.834644	-171.11824	100					3.291763	-0.030208		
-171.927917	1.263119	-171.927917	27.834902	-171.101578	100					3.305084	-0.030182		
-171.914581	1.255905	-171.914581	27.832994	-171.084915	100					3.31842	-0.030156		
-171.90126	1.243989	-171.90126	27.827068	-171.068268	100					3.331741	-0.030131		
-171.887939	1.233369	-171.887939	27.82085	-171.051605	100					3.345062	-0.030105		
-171.874603	1.225392	-171.874603	27.816629	-171.034943	100					3.358398	-0.03008		
-171.861282	1.21864	-171.861282	27.814827	-171.01828	100					3.371719	-0.030055		
-171.847946	1.21259	-171.847946	27.816105	-171.001617	100					3.385056	-0.030029		
-171.834625	1.204337	-171.834625	27.817339	-170.98497	100					3.398376	-0.030004		
-171.821304	1.197347	-171.821304	27.816351	-170.968307	100					3.411697	-0.029979		
-171.807968	1.189613	-171.807968	27.814014	-170.951645	100					3.425034	-0.029953		
-171.794647	1.181764	-171.794647	27.811909	-170.934982	100					3.438354	-0.029928		
-171.781311	1.173254	-171.781311	27.810986	-170.918335	100					3.451691	-0.029903		
-171.76799	1.163231	-171.76799	27.809452	-170.901672	100					3.465012	-0.029877		
-171.754669	1.156542	-171.754669	27.807318	-170.88501	100					3.478333	-0.029852		
-171.741333	1.147572	-171.741333	27.805969	-170.868347	100					3.491669	-0.029827		
-171.728012	1.143368	-171.728012	27.804438	-170.8517	100					3.50499	-0.029802		
